geoid,name,total,error
04000US01,Alabama,21830,266
04000US02,Alaska,29932,1140
04000US04,Arizona,25307,247
04000US05,Arkansas,21529,201
04000US06,California,25971,104
04000US08,Colorado,29237,430
04000US09,Connecticut,31920,247
04000US10,Delaware,28405,921
04000US11,District of Columbia,38014,1708
04000US12,Florida,23387,172
04000US13,Georgia,24682,253
04000US15,Hawaii,29786,621
04000US16,Idaho,22166,317
04000US17,Illinois,27301,120
04000US18,Indiana,24801,269
04000US19,Iowa,26717,254
04000US20,Kansas,26299,284
04000US21,Kentucky,21871,186
04000US22,Louisiana,22416,215
04000US23,Maine,24367,496
04000US24,Maryland,34564,457
04000US25,Massachusetts,31016,231
04000US26,Michigan,23938,206
04000US27,Minnesota,30094,193
04000US28,Mississippi,20206,292
04000US29,Missouri,23933,251
04000US30,Montana,23536,553
04000US31,Nebraska,26450,308
04000US32,Nevada,26328,314
04000US33,New Hampshire,30651,420
04000US34,New Jersey,32158,208
04000US35,New Mexico,22775,364
04000US36,New York,28449,247
04000US37,North Carolina,23946,258
04000US38,North Dakota,29326,721
04000US39,Ohio,24778,170
04000US40,Oklahoma,23460,298
04000US41,Oregon,24445,303
04000US42,Pennsylvania,25874,144
04000US44,Rhode Island,26840,524
04000US45,South Carolina,22451,260
04000US46,South Dakota,25866,439
04000US47,Tennessee,22570,265
04000US48,Texas,25227,122
04000US49,Utah,25043,402
04000US50,Vermont,26323,492
04000US51,Virginia,30322,193
04000US53,Washington,29109,337
04000US54,West Virginia,21494,268
04000US55,Wisconsin,26668,179
04000US56,Wyoming,26778,725
